# id tenant arrival_us num_boot key_size_mb noise_budget priority deadline_us
0  0  12.4    120  180  0.92  1  0
1  1  55.1    140  210  0.35  2  900000
2  3  80.9    160  250  0.15  0  0
3  2  102.2   90   300  0.60  1  0
4  1  150.3   80   175  0.72  1  1200000
5  0  190.8   22   60   0.40  2  0
6  3  201.1   30   45   0.10  0  800000
7  2  249.3   18   55   0.77  2  0
8  1  310.7   24   65   0.42  1  0
9  2  355.9   15   12   0.50  0  0

10 0  400.4   35   8    0.31  2  0
11 3  422.0   44   10   0.95  1  700000
12 1  455.2   12   6    0.20  0  0
13 2  499.7   9    20   0.61  2  0
14 3  520.3   11   17   0.80  1  900000
15 2  560.9   25   75   0.13  0  0
16 1  590.0   30   48   0.66  1  0
17 0  621.8   40   55   0.82  2  1100000
18 3  650.4   28   43   0.45  1  0
19 3  681.2   32   62   0.12  0  0

20 0  711.3   220  200  0.09  2  0
21 2  736.9   180  260  0.22  1  1000000
22 1  760.2   210  145  0.55  2  0
23 0  790.0   200  230  0.18  1  850000
24 1  812.6   250  270  0.90  0  0
25 2  840.1   190  195  0.61  1  0
26 1  870.9   34   10   0.48  2  0
27 3  900.4   36   13   0.77  1  970000
28 2  930.2   38   18   0.29  0  0
29 3  960.6   45   22   0.53  2  0

30 0  990.9   11   7    0.19  1  0
31 2  1015.3  14   9    0.33  2  650000
32 1  1050.8  8    5    0.25  0  0
33 0  1080.1  10   15   0.78  1  0
34 1  1105.7  30   18   0.51  2  0
35 2  1130.2  60   50   0.05  0  0
36 3  1151.5  42   65   0.92  1  0
37 0  1184.8  55   35   0.46  2  760000
38 1  1200.3  57   80   0.62  1  1100000
39 2  1235.6  52   70   0.88  2  0

40 3  1262.2  170  290  0.15  1  0
41 1  1299.9  155  210  0.41  2  900000
42 0  1325.4  165  250  0.30  0  0
43 2  1360.0  140  180  0.50  2  0
44 0  1385.5  175  160  0.09  1  750000
45 3  1420.3  12   19   0.84  2  0
46 1  1455.1  18   14   0.24  0  0
47 2  1490.2  44   11   0.43  1  0
48 3  1525.9  16   9    0.65  2  0
49 0  1550.1  20   7    0.31  1  950000
